,ss_id,pv_system_id,provider,installed_capacity_kw
348,7674,33747,solar_sheffield_passiv,3.0
349,7693,34466,solar_sheffield_passiv,3.0
350,7694,34507,solar_sheffield_passiv,2.5
351,7700,34536,solar_sheffield_passiv,2.5
352,7702,34544,solar_sheffield_passiv,3.0
353,7719,34648,solar_sheffield_passiv,3.0
354,7721,34652,solar_sheffield_passiv,3.0
355,7723,34727,solar_sheffield_passiv,2.0
356,7748,34965,solar_sheffield_passiv,3.75
357,7756,35146,solar_sheffield_passiv,1.75
358,7757,35147,solar_sheffield_passiv,4.0
359,7762,35208,solar_sheffield_passiv,2.0
360,7763,35210,solar_sheffield_passiv,4.0
361,7767,35287,solar_sheffield_passiv,4.0
362,7776,35487,solar_sheffield_passiv,2.5
363,7830,35745,solar_sheffield_passiv,3.0
364,7833,35905,solar_sheffield_passiv,2.5
365,7834,35967,solar_sheffield_passiv,3.0
366,7836,36005,solar_sheffield_passiv,3.0
367,7837,36045,solar_sheffield_passiv,2.5
368,7843,36125,solar_sheffield_passiv,2.0
369,7844,36205,solar_sheffield_passiv,3.0
370,7845,36265,solar_sheffield_passiv,2.25
371,7885,36688,solar_sheffield_passiv,2.0
372,7902,37010,solar_sheffield_passiv,2.0
373,7904,37027,solar_sheffield_passiv,3.0
374,7905,37031,solar_sheffield_passiv,2.5
375,7906,37045,solar_sheffield_passiv,3.0
376,7907,37047,solar_sheffield_passiv,3.0
377,7910,37145,solar_sheffield_passiv,3.5
378,7932,37306,solar_sheffield_passiv,1.5
379,8099,38406,solar_sheffield_passiv,2.0
380,8137,39085,solar_sheffield_passiv,2.0
381,8175,39565,solar_sheffield_passiv,2.0
382,8215,40025,solar_sheffield_passiv,4.0
383,8229,40425,solar_sheffield_passiv,2.0
384,8253,40674,solar_sheffield_passiv,3.5
385,8266,41085,solar_sheffield_passiv,3.0
386,8267,41105,solar_sheffield_passiv,3.75
387,8411,43665,solar_sheffield_passiv,2.5
388,8419,43865,solar_sheffield_passiv,3.0
389,8420,43905,solar_sheffield_passiv,2.0
390,8453,44667,solar_sheffield_passiv,3.5
391,8505,45285,solar_sheffield_passiv,3.64
392,8558,45745,solar_sheffield_passiv,2.0
393,8587,46265,solar_sheffield_passiv,2.0
394,8591,46365,solar_sheffield_passiv,2.0
395,8612,46685,solar_sheffield_passiv,2.5
396,8708,47407,solar_sheffield_passiv,3.0
397,8713,47447,solar_sheffield_passiv,2.5
398,8801,47587,solar_sheffield_passiv,2.5
399,8914,47756,solar_sheffield_passiv,3.0
400,9070,48008,solar_sheffield_passiv,3.0
401,9153,48227,solar_sheffield_passiv,3.76
402,9171,48287,solar_sheffield_passiv,2.5
403,9173,48290,solar_sheffield_passiv,2.5
404,9191,48382,solar_sheffield_passiv,3.0
405,9350,49377,solar_sheffield_passiv,3.0
406,9366,49517,solar_sheffield_passiv,3.0
407,9367,49598,solar_sheffield_passiv,3.0
408,9368,49657,solar_sheffield_passiv,2.5
409,9369,49678,solar_sheffield_passiv,3.0
410,9478,50579,solar_sheffield_passiv,2.0
411,9480,50637,solar_sheffield_passiv,2.0
412,9531,50878,solar_sheffield_passiv,3.0
413,9569,51437,solar_sheffield_passiv,4.0
414,9648,52137,solar_sheffield_passiv,3.0
415,9763,54981,solar_sheffield_passiv,2.5
416,9765,54985,solar_sheffield_passiv,2.75
417,9815,55197,solar_sheffield_passiv,3.0
418,9816,55259,solar_sheffield_passiv,3.0
419,9867,55657,solar_sheffield_passiv,2.0
420,9870,55721,solar_sheffield_passiv,2.5
421,9871,55757,solar_sheffield_passiv,2.0
422,9902,55977,solar_sheffield_passiv,3.5
423,9903,56017,solar_sheffield_passiv,3.0
424,10003,56677,solar_sheffield_passiv,2.0
425,10063,57157,solar_sheffield_passiv,3.0
426,10064,57217,solar_sheffield_passiv,3.0
427,10082,57357,solar_sheffield_passiv,2.0
428,10150,57606,solar_sheffield_passiv,2.0
429,10169,57702,solar_sheffield_passiv,2.5
430,10190,57939,solar_sheffield_passiv,3.0
431,10280,58367,solar_sheffield_passiv,4.0
432,10366,58599,solar_sheffield_passiv,2.0
433,10367,58600,solar_sheffield_passiv,2.0
434,10426,58982,solar_sheffield_passiv,2.0
435,10438,59059,solar_sheffield_passiv,3.0
436,10497,59371,solar_sheffield_passiv,1.5
437,10509,59517,solar_sheffield_passiv,3.0
438,10511,59577,solar_sheffield_passiv,2.5
439,10512,59578,solar_sheffield_passiv,2.5
440,10523,59877,solar_sheffield_passiv,2.5
441,10528,59917,solar_sheffield_passiv,3.0
